"HUC8","Site_Num","Long","Lat","Year","BFI","Temp_C","Precip_MM","AET_MM","Elevation_M","AREA_KM2","SLOPE_DEGREES","SOIL_A_PERCENT","SOIL_B_PERCENT","SOIL_C_PERCENT","SOIL_D_PERCENT","SOIL_A_D_PERCENT","SOIL_B_D_PERCENT","SOIL_C_D_PERCENT","LC_UNCLASSIFIED_PERCENT","LC_OPEN_WATER_PERCENT","LC_DEVELOPED_OPEN_SPACE_PERCENT","LC_DEVELOPED_LOW_INTENSITY_PERCENT","LC_DEVELOPED_MEDIUM_INTENSITY_PERCENT","LC_DEVELOPED_HIGH_INTENSITY_PERCENT","LC_BARREN_LAND_PERCENT","LC_DECIDUOUS_FOREST_PERCENT","LC_EVERGREEN_FOREST_PERCENT","LC_MIXED_FOREST_PERCENT","LC_SHRUB_PERCENT","LC_HERBACEOUS_PERCENT","LC_HAY_PASTURE_PERCENT","LC_CULTIVATED_CROPS_PERCENT","LC_WOODY_WETLANDS_PERCENT","LC_EMERGENT_HERBACEOUS_WETLANDS_PERCENT","KARST_PERCENT","IGNEOUS_INTRUSIVE_PERCENT","SEDIMENTARY_CLASTIC_PERCENT","METAMORPHIC_AND_SEDIMENTARY_UNDIFFERENTIATED_PERCENT","IGNEOUS_AND_SEDIMENTARY_UNDIFFERENTIATED_PERCENT","METAMORPHIC_SCHIST_PERCENT","SEDIMENTARY_UNDIFFERENTIATED_PERCENT","IGNEOUS_VOLCANIC_PERCENT","METAMORPHIC_UNDIFFERENTIATED_PERCENT","UNCONSOLIDATED_UNDIFFERENTIATED_PERCENT","IGNEOUS_UNDIFFERENTIATED_PERCENT","METAMORPHIC_GNEISS_PERCENT","METAMORPHIC_VOLCANIC_PERCENT","METAMORPHIC_SEDIMENTARY_CLASTIC_PERCENT","ASPECT_FLAT_PERCENT","ASPECT_NORTH_PERCENT","ASPECT_SOUTH_PERCENT","BFI.log","Predicted_BFI"
15070201,9522680,-114.4616667,32.74388889,2017,0.122940161047611,23.44,94.89,95.0345001220703,50.12,10858.1197,4.2661,0.4201,0.4058,0.164,0.3865,0,0,0,0,3e-04,0.0055,0.0029,0.0023,5e-04,0.1101,0,0,0,0.7992,0.0352,0.0013,0.037,0.0036,0.0022,0.1187,0.0583,0.0536,0.0022,0.0196,0.0022,0,0.1956,0.0258,0.6387,8e-04,0.005,0,0,0.008,0.4444,0.5476,-1.96487748001398,0.114827190529653
15070201,9522680,-114.4616667,32.74388889,2018,0.362587371408194,22.85,140.59,133.74462890625,50.12,10858.1197,4.2661,0.4201,0.4058,0.164,0.3865,0,0,0,0,3e-04,0.0055,0.0029,0.0023,5e-04,0.1101,0,0,0,0.7992,0.0352,0.0013,0.037,0.0036,0.0022,0.1187,0.0583,0.0536,0.0022,0.0196,0.0022,0,0.1956,0.0258,0.6387,8e-04,0.005,0,0,0.008,0.4444,0.5476,-0.564151744623309,0.120616697508795
15030104,9428510,-114.4563389,33.99845278,1982,0.677681022715989,21.79,153.97,181.877899169922,101.8,3944.1784,6.4766,0.5778,0.2049,0.1603,0.3057,0.0016,0,0,0,0.0075,0.0061,0.0037,0.0021,6e-04,0.1735,3e-04,0,1e-04,0.669,0.0119,0.0064,0.0938,0.0178,0.007,0.0087,0.0611,0.086,0.0058,0.02,0.0058,0,0.2383,0.0029,0.5651,0.0037,0.014,0,0,0.0014,0.5042,0.4927,0.743135041370377,0.713564445322721
15030104,9428510,-114.4563389,33.99845278,2006,0.7205322336151,22.32,74.41,41.7994194030762,101.8,3944.1784,6.4766,0.5778,0.2049,0.1603,0.3057,0.0016,0,0,0,0.0075,0.0061,0.0037,0.0021,6e-04,0.1735,3e-04,0,1e-04,0.669,0.0119,0.0064,0.0938,0.0178,0.007,0.0087,0.0611,0.086,0.0058,0.02,0.0058,0,0.2383,0.0029,0.5651,0.0037,0.014,0,0,0.0014,0.5042,0.4927,0.947103192329387,0.859297021005171
15030104,9428510,-114.4563389,33.99845278,2012,0.692270628849454,22.87,103.16,111.785133361816,101.8,3944.1784,6.4766,0.5778,0.2049,0.1603,0.3057,0.0016,0,0,0,0.0075,0.0061,0.0037,0.0021,6e-04,0.1735,3e-04,0,1e-04,0.669,0.0119,0.0064,0.0938,0.0178,0.007,0.0087,0.0611,0.086,0.0058,0.02,0.0058,0,0.2383,0.0029,0.5651,0.0037,0.014,0,0,0.0014,0.5042,0.4927,0.810756229691872,0.707002705433533
15030104,9428510,-114.4563389,33.99845278,2016,0.662118994144005,23.1,117.02,118.469444274902,101.8,3944.1784,6.4766,0.5778,0.2049,0.1603,0.3057,0.0016,0,0,0,0.0075,0.0061,0.0037,0.0021,6e-04,0.1735,3e-04,0,1e-04,0.669,0.0119,0.0064,0.0938,0.0178,0.007,0.0087,0.0611,0.086,0.0058,0.02,0.0058,0,0.2383,0.0029,0.5651,0.0037,0.014,0,0,0.0014,0.5042,0.4927,0.672751509429167,0.637034212394241
15030104,9428511,-114.4455106,33.99946154,1989,0.0718988841525073,22.98,48.94,103.36531829834,101.97,3944.1784,6.4766,0.5778,0.2049,0.1603,0.3057,0.0016,0,0,0,0.0075,0.0061,0.0037,0.0021,6e-04,0.1735,3e-04,0,1e-04,0.669,0.0119,0.0064,0.0938,0.0178,0.007,0.0087,0.0611,0.086,0.0058,0.02,0.0058,0,0.2383,0.0029,0.5651,0.0037,0.014,0,0,0.0014,0.5042,0.4927,-2.55787994272298,0.150205780705557
15030104,9428511,-114.4455106,33.99946154,2003,0.132272588724641,22.75,107.09,89.6592330932617,101.97,3944.1784,6.4766,0.5778,0.2049,0.1603,0.3057,0.0016,0,0,0,0.0075,0.0061,0.0037,0.0021,6e-04,0.1735,3e-04,0,1e-04,0.669,0.0119,0.0064,0.0938,0.0178,0.007,0.0087,0.0611,0.086,0.0058,0.02,0.0058,0,0.2383,0.0029,0.5651,0.0037,0.014,0,0,0.0014,0.5042,0.4927,-1.88101276366515,0.137890351415003
15070201,9529100,-114.4455024,32.71004709,1983,0.661276481906235,21.38,241.51,215.665786743164,51.82,10858.1197,4.2661,0.4201,0.4058,0.164,0.3865,0,0,0,0,3e-04,0.0055,0.0029,0.0023,5e-04,0.1101,0,0,0,0.7992,0.0352,0.0013,0.037,0.0036,0.0022,0.1187,0.0583,0.0536,0.0022,0.0196,0.0022,0,0.1956,0.0258,0.6387,8e-04,0.005,0,0,0.008,0.4444,0.5476,0.668987836852897,0.65867890968873
15070201,9529300,-114.4369028,32.74210278,1971,0.92316900507128,20.03,106.1,108.145332336426,48.7,10858.1197,4.2661,0.4201,0.4058,0.164,0.3865,0,0,0,0,3e-04,0.0055,0.0029,0.0023,5e-04,0.1101,0,0,0,0.7992,0.0352,0.0013,0.037,0.0036,0.0022,0.1187,0.0583,0.0536,0.0022,0.0196,0.0022,0,0.1956,0.0258,0.6387,8e-04,0.005,0,0,0.008,0.4444,0.5476,2.48620418328899,0.798278954582603
