HUC8,NAME,AREA_KM2,SLOPE_DEGREES,SOIL_A_PERCENT,SOIL_B_PERCENT,SOIL_C_PERCENT,SOIL_D_PERCENT,SOIL_A_D_PERCENT,SOIL_B_D_PERCENT,SOIL_C_D_PERCENT,LC_UNCLASSIFIED_PERCENT,LC_OPEN_WATER_PERCENT,LC_DEVELOPED_OPEN_SPACE_PERCENT,LC_DEVELOPED_LOW_INTENSITY_PERCENT,LC_DEVELOPED_MEDIUM_INTENSITY_PERCENT,LC_DEVELOPED_HIGH_INTENSITY_PERCENT,LC_BARREN_LAND_PERCENT,LC_DECIDUOUS_FOREST_PERCENT,LC_EVERGREEN_FOREST_PERCENT,LC_MIXED_FOREST_PERCENT,LC_SHRUB_PERCENT,LC_HERBACEOUS_PERCENT,LC_HAY_PASTURE_PERCENT,LC_CULTIVATED_CROPS_PERCENT,LC_WOODY_WETLANDS_PERCENT,LC_EMERGENT_HERBACEOUS_WETLANDS_PERCENT,KARST_PERCENT,IGNEOUS_INTRUSIVE_PERCENT,SEDIMENTARY_CLASTIC_PERCENT,METAMORPHIC_AND_SEDIMENTARY_UNDIFFERENTIATED_PERCENT,IGNEOUS_AND_SEDIMENTARY_UNDIFFERENTIATED_PERCENT,METAMORPHIC_SCHIST_PERCENT,SEDIMENTARY_UNDIFFERENTIATED_PERCENT,IGNEOUS_VOLCANIC_PERCENT,METAMORPHIC_UNDIFFERENTIATED_PERCENT,UNCONSOLIDATED_UNDIFFERENTIATED_PERCENT,IGNEOUS_UNDIFFERENTIATED_PERCENT,METAMORPHIC_GNEISS_PERCENT,METAMORPHIC_VOLCANIC_PERCENT,METAMORPHIC_SEDIMENTARY_CLASTIC_PERCENT,ASPECT_FLAT_PERCENT,ASPECT_NORTH_PERCENT,ASPECT_SOUTH_PERCENT
15010004,Havasu Canyon,7599.0116,4.0678,0.0013,0.1329,0.2894,1.0519,0,0,0,0,0.0001,0.0052,0.0018,0.0008,0.0002,0.0117,0,0.1928,0,0.7109,0.0762,0,0,0.0001,0.0001,0.7911,0,0.0792,0,0,0,0.6554,0.2065,0,0.0589,0,0,0,0,0.0017,0.5224,0.476
15010005,Lake Mead,4373.3152,14.025,0.1636,0.0202,0.0746,1.0521,0,0,0,0,0.0284,0.0031,0.001,0.0002,0,0.0415,0,0.1249,0,0.7707,0.0225,0,0,0.0056,0.002,0.5928,0.0512,0.1332,0,0,0,0.526,0.0789,0.06,0.1065,0,0,0,0,0.0218,0.5553,0.4222
15010006,Grand Wash,2177.016,10.6947,0.0404,0.1679,0.0667,1.0052,0,0,0,0,0,0,0,0,0,0.0042,0,0.1301,0.0002,0.8109,0.052,0,0,0.0004,0.0022,0.483,0,0.1856,0,0,0,0.4284,0.1743,0.0037,0.2036,0,0,0,0,0,0.4396,0.5597
15010007,Red Lake,3663.419,6.7757,0.4983,0.0659,0.1903,0.7109,0,0,0,0,0,0.0152,0.0074,0.0022,0.0007,0.0119,0.0004,0.0868,0,0.8731,0.0021,0,0,0.0002,0,0.2952,0.176,0.0887,0,0,0,0.1419,0.0754,0.0537,0.4599,0,0,0.0044,0,0.0194,0.559,0.4216
15010009,Fort Pearce Wash,3902.7525,4.7643,0.1099,0.4383,0.2421,0.6829,0,0,0,0,0,0.0048,0.001,0.0004,0,0.0003,0,0.0674,0,0.9158,0.0093,0.0005,0.0001,0.0002,0,0.8656,0,0.3918,0,0,0,0.4466,0.1422,0,0.0194,0,0,0,0,0.0015,0.6009,0.3971
15010010,Lower Virgin,1275.6714,11.8123,0.1679,0.2186,0.1241,0.6794,0,0,0,0,0.0001,0.0069,0.0028,0.0022,0.0003,0.003,0,0.1212,0.0001,0.6713,0.1834,0,0.0011,0.0073,0.0003,0.7509,0,0.1844,0,0,0,0.279,0.0977,0.0968,0.3416,0,0,0,0,0.0002,0.5815,0.4163
15010014,Detrital Wash,1795.6216,6.1221,0.6023,0.0756,0.1986,0.6335,0,0,0,0,0,0.0111,0.0063,0.0008,0,0.0018,0.0001,0.0257,0,0.9424,0.0115,0,0,0,0.0001,0.2304,0.0923,0.1372,0,0,0,0,0.174,0.0884,0.5078,0,0,0,0,0.0001,0.6331,0.3669
15020001,Little Colorado Headwaters,1955.8396,5.9516,0.0468,0.5678,0.2166,0.5762,0,0,0.0046,0,0.0037,0.0081,0.0052,0.0027,0.0003,0.0002,0.0016,0.3295,0.0003,0.5269,0.1178,0,0,0.0012,0.0025,0.5392,0,0.4279,0,0,0,0,0.5716,0,0.0005,0,0,0,0,0.0023,0.6349,0.3623
15020002,Upper Little Colorado,4188.5545,2.6619,0.0796,0.3618,0.3133,0.5331,0,0,0,0,0.0003,0.0083,0.0044,0.0017,0.0002,0.011,0.0001,0.0758,0,0.7368,0.1573,0.0004,0,0.0018,0.0019,0.9774,0,0.708,0,0,0,0.0151,0.2129,0,0.064,0,0,0,0,0.003,0.6007,0.3962
15020003,Carrizo Wash,857.0275,2.197,0.0125,0.7604,0.1818,0.2789,0,0,0,0,0.0011,0.0004,0.002,0.0013,0.0003,0.0089,0,0.0234,0,0.8201,0.141,0,0,0.0012,0.0005,0.8451,0,0.8029,0,0,0,0,0.1185,0,0.0784,0,0,0,0,0.0009,0.5909,0.4064
