Longitude,Latitude,Elev_m
-110.774528709999998,32.365755759999999,1121.3282471
-111.013610119999996,32.303283980000003,685.0270996
-110.808539130000000,32.295906350000003,790.5922241
-110.924998570000000,32.273565419999997,720.2230225
-110.806826349999994,32.290441420000001,783.5780640
-110.818762210000003,32.260227530000002,759.9888916
-110.680150319999996,32.119368049999999,914.4348755
-110.678669659999997,32.035489329999997,969.8771362
-110.684417929999995,32.086130160000003,985.4453125
-110.644208759999998,32.019909040000002,1006.5325928
-110.639452050000003,32.016445969999999,1015.4118652
-111.340077280000003,32.399007849999997,602.2737427
-111.324009169999997,32.259250629999997,665.9418335
-111.167102180000001,32.177943509999999,729.7719116
-111.329063370000000,31.992017810000000,919.8668823
-110.095202599999993,32.563131970000001,1362.2050781
-110.215973160000004,32.541013059999997,1473.3216553
-109.898861729999993,32.495570870000002,1390.9338379
-110.162423689999997,32.470824159999999,1486.4841309
-109.802630660000005,32.434873170000003,1463.7053223
-109.826008830000006,32.409164380000000,1385.4031982
-109.812587679999993,32.385388470000002,1364.8400879
-109.809406690000003,32.283089439999998,1276.2645264
-110.022981540000004,32.062874430000001,1410.9815674
-110.380457910000004,32.582315160000000,1250.7229004
-110.486849969999994,32.445869020000004,859.6116333
-110.582581669999996,32.437694860000001,1085.6005859
-110.494093289999995,32.390583880000001,966.3899536
-110.224992900000004,32.379929980000000,1328.0592041
-110.228279880000002,32.388968900000002,1316.0516357
-110.139722340000006,32.310500060000003,1488.6093750
-110.431116610000004,32.275989729999999,1072.2220459
-110.395339430000007,32.229719570000000,1008.8897095
-110.234576189999999,32.199698630000000,1323.6445312
-110.470837570000000,32.042464320000001,1268.7944336
-110.527203170000007,31.985843559999999,1135.5268555
-110.305313530000006,32.107116380000001,1036.2979736
-110.374992640000002,32.079307129999997,1100.2476807
-110.417871439999999,31.992571500000000,1216.9232178
-109.713314859999997,32.207264010000003,1314.0804443
-109.489869650000003,32.118360699999997,1483.3251953
-109.588245220000005,32.062352810000000,1385.9134521
-109.593924889999997,32.054338870000002,1372.2076416
-109.425564230000006,32.038448789999997,1542.3031006
-109.383165899999995,31.987195329999999,1597.1428223
-109.380916080000006,32.023945920000003,1600.3934326
-109.354016599999994,32.521102829999997,1048.5883789
-109.528266110000004,32.491817259999998,1086.5192871
-109.661767510000004,32.475739249999997,1336.8132324
-109.288007170000000,32.445152909999997,1097.8580322
-109.717587140000006,32.390674730000001,1371.5108643
-109.297276479999994,32.368239109999998,1061.0878906
-109.590073259999997,32.380016419999997,1203.0300293
-109.204231410000006,32.359437780000000,1146.4840088
-109.435958580000005,32.325018340000000,1120.7900391
-109.178583820000000,32.310436000000003,1144.1680908
-109.462168809999994,32.248826469999997,1197.9104004
-109.469544900000002,32.239512470000001,1211.7315674
-109.232740269999994,32.203589489999999,1139.0452881
-109.195073760000000,32.131019060000000,1204.8774414
-109.237814189999995,32.142548030000000,1228.3677979
-109.360233149999999,32.095247839999999,1640.0180664
-109.048846370000007,32.081278869999998,1177.2512207
-109.149947069999996,32.587781829999997,1391.6192627
-109.113690090000006,32.581383469999999,1290.0075684
-109.157231330000002,32.592241370000004,1411.7979736
-109.107502400000001,32.519996440000000,1295.7280273
-114.143514940000003,32.915786460000000,292.3718567
-114.128452800000005,32.855905470000003,213.4528046
-114.301318710000004,32.874134329999997,147.7743073
-114.175470309999994,32.843557220000001,197.8661957
-114.082914840000001,32.812345909999998,162.7987061
-114.006191909999998,32.831060540000003,165.1863403
-114.068729460000000,32.753966660000003,88.9285812
-114.071958929999994,32.739639449999999,70.7372742
-114.444506550000000,32.710813379999998,50.6828918
-114.445716000000004,32.830194689999999,55.5612679
-114.458193339999994,32.814719799999999,52.7620201
-114.527605829999999,32.747566689999999,37.2511597
-114.528785880000001,32.743831700000001,38.4614487
-114.554069339999998,32.721050640000001,38.0536385
-114.688873349999994,32.737572729999997,35.8233643
-114.663353119999996,32.733670310000001,34.1580009
-114.670457870000007,32.734251700000002,34.1580009
-114.675205039999994,32.735587209999998,34.1580009
-114.655761569999996,32.733382190000000,34.1580009
-114.644491570000000,32.731704700000002,36.1380005
-114.628008769999994,32.729293100000000,35.6998863
-114.570897750000000,32.721681619999998,37.3416023
